USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
psiantar1;MIX GT;SF-ITK012-S03;PSIANTAR1
psiantar2;MIX GT;SF-ITK012-S02;PSIANTAR2
psiantar3;MIX GT;SF-ITK012-S04;PSIANTAR3
kisaran1;MIX GT;SF-ITK012-KSR1;KISARAN1
kisaran2;MIX GT;SF-ITK012-KSR2;KISARAN2
rantauprapat1;MIX GT;SF-ITK012-RPR1;RANTAUPRAPAT1
rantauprapat2;TIDAK AKTIF;TIDAK AKTIF;RANTAUPRAPAT2
psidempuan1;MIX GT;SF-ITK012-P02;PSIDEMPUAN1
sibolga1;TIDAK AKTIF;TIDAK AKTIF;SIBOLGA1
siborongborong1;MIX GT;SF-ITK012-P05;SIBORONGBORONG1
nias1;MIX GT;SF-ITK012-NIAS1;NIAS1
bandaaceh1;TIDAK AKTIF;TIDAK AKTIF;BANDAACEH1
lhokseumawe1;TIDAK AKTIF;TIDAK AKTIF;LHOKSEUMAWE1
lhokseumawe2;TIDAK AKTIF;TIDAK AKTIF;LHOKSEUMAWE2
lhokseumawe3;TIDAK AKTIF;TIDAK AKTIF;LHOKSEUMAWE3
langsa1;TIDAK AKTIF;TIDAK AKTIF;LANGSA1
langsa2;TIDAK AKTIF;TIDAK AKTIF;LANGSA2
meulaboh1;TIDAK AKTIF;TIDAK AKTIF;MEULABOH1
subulusalam1;TIDAK AKTIF;TIDAK AKTIF;SUBULUSALAM1
subulusalam2;TIDAK AKTIF;TIDAK AKTIF;SUBULUSALAM2
subulusalam3;TIDAK AKTIF;TIDAK AKTIF;SUBULUSALAM3
medan1;EXCLUSIVE GT;SF-ITK012-TK03;MEDAN1
medan2;TIDAK AKTIF;TIDAK AKTIF;MEDAN2
medan3;EXCLUSIVE MT;SF-ITK012-13;MEDAN3
medan4;TIDAK AKTIF;TIDAK AKTIF;MEDAN4
medan5;EXCLUSIVE MT;SF-ITK012-14;MEDAN5
medan6;TIDAK AKTIF;TIDAK AKTIF;MEDAN6
medan7;TIDAK AKTIF;TIDAK AKTIF;MEDAN7
medan8;TIDAK AKTIF;TIDAK AKTIF;MEDAN8
medan9;EXCLUSIVE GT;SF-ITK012-25;MEDAN9
medan10;TIDAK AKTIF;TIDAK AKTIF;MEDAN10
medan11;TIDAK AKTIF;TIDAK AKTIF;MEDAN11
medan12;TIDAK AKTIF;TIDAK AKTIF;MEDAN12
medan13;EXCLUSIVE MT;SF-ITK012-12;MEDAN13
medan14;TIDAK AKTIF;TIDAK AKTIF;MEDAN14
medan15;TIDAK AKTIF;TIDAK AKTIF;MEDAN15
langkat1;TIDAK AKTIF;TIDAK AKTIF;LANGKAT1
pekanbaru1;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU1
